t,innovation,mse,firing_rate,kalman_innovation,kalman_mse
0.171000,1.239736e-03,5.477374e-04,0.000000e+00,1.298210e-03,2.916805e-03
0.172000,1.420240e-05,3.836461e-04,0.000000e+00,1.947262e-05,2.527912e-03
0.173000,1.595895e-03,3.084390e-04,0.000000e+00,1.555882e-03,3.492553e-03
0.174000,2.533853e-03,1.855780e-04,0.000000e+00,2.750569e-03,1.718673e-03
0.175000,6.152004e-03,1.738778e-04,0.000000e+00,6.141031e-03,3.991486e-03
0.176000,1.598291e-05,1.828788e-04,0.000000e+00,6.218321e-07,4.089703e-03
0.177000,6.713209e-04,1.965272e-04,0.000000e+00,8.527862e-04,3.290647e-03
0.178000,2.069971e-03,1.733197e-04,0.000000e+00,2.274103e-03,1.908795e-03
0.179000,2.158777e-03,1.529612e-04,0.000000e+00,2.191735e-03,9.673257e-04
0.180000,3.332849e-03,1.760007e-04,0.000000e+00,3.166518e-03,3.951547e-04
0.181000,1.484309e-03,2.059082e-04,0.000000e+00,1.779085e-03,9.118304e-04
0.182000,5.933515e-05,1.891475e-04,0.000000e+00,3.263208e-05,7.977946e-04
0.183000,3.187165e-05,1.795672e-04,0.000000e+00,6.152329e-05,8.928129e-04
0.184000,1.772154e-03,1.517601e-04,0.000000e+00,1.933644e-03,1.556891e-03
0.185000,7.081530e-04,9.988123e-05,0.000000e+00,7.006907e-04,9.310378e-04
0.186000,3.080645e-04,1.202970e-04,0.000000e+00,3.496039e-04,1.272684e-03
0.187000,1.768840e-04,7.698674e-05,0.000000e+00,1.875750e-04,1.366127e-03
0.188000,3.348702e-04,1.315736e-04,0.000000e+00,3.408532e-04,1.219927e-03
0.189000,8.806050e-04,1.322201e-04,0.000000e+00,8.496952e-04,8.314719e-04
0.190000,7.318565e-06,1.308353e-04,0.000000e+00,1.881003e-05,8.872741e-04
0.191000,2.270193e-03,1.170958e-04,0.000000e+00,2.410081e-03,1.648877e-03
0.192000,1.624376e-06,1.080235e-04,0.000000e+00,3.050633e-06,1.608072e-03
0.193000,5.646432e-06,1.141564e-04,0.000000e+00,3.768467e-06,1.655690e-03
0.194000,1.981321e-03,1.059782e-04,0.000000e+00,2.029668e-03,9.153502e-04
0.195000,1.918742e-05,1.125215e-04,0.000000e+00,3.075830e-05,1.007660e-03
0.196000,1.266199e-03,8.310413e-05,0.000000e+00,1.333418e-03,1.493333e-03
0.197000,9.293504e-08,3.611023e-05,0.000000e+00,6.352195e-07,1.224101e-03
0.198000,5.722949e-04,5.072565e-05,0.000000e+00,5.490372e-04,1.641250e-03
0.199000,1.421519e-03,5.125121e-05,0.000000e+00,1.316559e-03,2.318897e-03
0.200000,9.653342e-04,4.614782e-05,0.000000e+00,7.967984e-04,2.951019e-03
0.201000,6.929554e-03,9.327539e-05,0.000000e+00,7.605252e-03,1.366492e-03
0.202000,2.261881e-04,8.111356e-05,0.000000e+00,2.060989e-04,1.578868e-03
0.203000,3.050635e-03,6.227678e-05,0.000000e+00,2.912961e-03,2.439525e-03
0.204000,1.199651e-04,6.856735e-05,0.000000e+00,2.045539e-04,2.216049e-03
0.205000,5.307651e-03,6.559198e-05,0.000000e+00,5.731039e-03,9.966296e-04
0.206000,1.935790e-05,6.571588e-05,0.000000e+00,1.949103e-05,9.733987e-04
0.207000,4.823004e-04,4.940558e-05,0.000000e+00,4.767344e-04,6.597966e-04
0.208000,6.128775e-05,3.509507e-05,0.000000e+00,4.758633e-05,5.443890e-04
0.209000,6.438087e-04,2.961991e-05,0.000000e+00,7.046456e-04,7.628281e-04
0.210000,1.502476e-03,3.531556e-05,0.000000e+00,1.514086e-03,1.282900e-03
0.211000,6.757322e-06,4.445751e-05,0.000000e+00,1.555438e-05,1.284487e-03
0.212000,8.305577e-03,4.503216e-05,0.000000e+00,8.530833e-03,3.588739e-04
0.213000,6.705531e-04,1.882169e-05,0.000000e+00,5.603736e-04,1.522376e-04
0.214000,1.014850e-03,2.519503e-05,0.000000e+00,8.268356e-04,8.358559e-05
0.215000,6.774473e-03,3.673325e-05,0.000000e+00,6.104461e-03,2.791285e-04
0.216000,3.877843e-06,6.978546e-05,0.000000e+00,2.642947e-05,2.637841e-04
0.217000,4.086455e-03,9.011385e-05,0.000000e+00,5.020687e-03,1.874484e-04
0.218000,2.086582e-04,1.425421e-04,0.000000e+00,1.031672e-04,2.347281e-04
0.219000,1.437031e-06,1.654934e-04,0.000000e+00,1.203133e-05,2.668352e-04
0.220000,1.236216e-03,1.829139e-04,0.000000e+00,9.376576e-04,2.766480e-04
0.221000,2.462194e-03,2.053283e-04,0.000000e+00,1.930446e-03,3.752784e-04
0.222000,6.300620e-05,1.605726e-04,0.000000e+00,2.331227e-04,2.709873e-04
0.223000,2.157392e-08,1.948847e-04,0.000000e+00,4.792669e-05,2.516913e-04
0.224000,3.172597e-07,1.993014e-04,0.000000e+00,3.560178e-05,2.015633e-04
0.225000,1.685792e-02,1.463685e-04,0.000000e+00,1.853859e-02,7.805842e-04
0.226000,5.403251e-05,1.929996e-04,0.000000e+00,3.705540e-05,8.213836e-04
0.227000,8.469555e-04,1.836137e-04,0.000000e+00,9.348767e-04,1.168182e-03
0.228000,3.846682e-04,2.364826e-04,0.000000e+00,3.974385e-04,1.560937e-03
0.229000,8.162610e-04,1.830183e-04,0.000000e+00,8.414500e-04,1.019579e-03
0.230000,1.996946e-02,1.650472e-04,0.000000e+00,1.979662e-02,1.448257e-04
0.231000,3.507145e-04,1.673934e-04,0.000000e+00,1.670396e-04,1.208036e-04
0.232000,1.376948e-03,1.620299e-04,0.000000e+00,9.498416e-04,8.776640e-05
0.233000,1.256417e-04,2.062585e-04,0.000000e+00,1.423689e-05,1.114942e-04
0.234000,1.556739e-02,1.797433e-04,0.000000e+00,1.373105e-02,7.493133e-04
0.235000,2.595413e-04,1.470749e-04,0.000000e+00,1.748898e-05,8.335626e-04
0.236000,2.683767e-04,1.312908e-04,0.000000e+00,8.123127e-04,5.396203e-04
0.237000,1.438308e-03,1.772349e-04,0.000000e+00,7.192400e-04,6.811933e-04
0.238000,9.488623e-03,2.170954e-04,0.000000e+00,7.273391e-03,1.576740e-03
0.239000,7.831415e-04,2.249326e-04,0.000000e+00,1.609514e-04,1.720153e-03
0.240000,1.769284e-03,2.217686e-04,0.000000e+00,3.349958e-03,9.831784e-04
0.241000,4.831978e-03,1.820911e-04,0.000000e+00,3.109953e-03,1.888661e-03
0.242000,3.474797e-09,1.979667e-04,0.000000e+00,2.526146e-04,1.530790e-03
0.243000,1.910403e-03,2.028497e-04,0.000000e+00,8.066765e-04,1.937207e-03
0.244000,2.290812e-04,2.104007e-04,0.000000e+00,9.943014e-04,1.459426e-03
0.245000,2.231272e-04,2.638095e-04,0.000000e+00,1.308294e-07,1.354583e-03
0.246000,1.355244e-03,2.261196e-04,0.000000e+00,4.612736e-04,1.852888e-03
0.247000,3.643219e-04,2.132663e-04,0.000000e+00,8.502131e-06,1.840724e-03
0.248000,1.500395e-05,1.767455e-04,0.000000e+00,4.082548e-04,1.627705e-03
0.249000,6.149607e-04,2.287255e-04,0.000000e+00,8.370661e-05,1.594346e-03
0.250000,1.159203e-03,2.385586e-04,0.000000e+00,3.244750e-04,1.841631e-03
0.251000,7.654823e-05,2.431080e-04,0.000000e+00,6.389485e-05,1.717466e-03
0.252000,3.564056e-03,2.739456e-04,0.000000e+00,1.865585e-03,2.273012e-03
0.253000,1.132751e-04,2.420444e-04,0.000000e+00,8.280337e-04,1.963300e-03
0.254000,4.372093e-03,1.748298e-04,0.000000e+00,2.398428e-03,3.000639e-03
0.255000,5.323035e-04,2.047921e-04,0.000000e+00,1.671465e-05,2.915114e-03
0.256000,1.999028e-03,1.368488e-04,0.000000e+00,6.509718e-04,3.704105e-03
0.257000,6.440513e-03,1.044622e-04,0.000000e+00,3.607910e-03,5.248968e-03
0.258000,2.428818e-03,1.067459e-04,0.000000e+00,7.209169e-04,5.852315e-03
0.259000,2.558373e-03,8.856493e-05,0.000000e+00,7.341857e-04,6.704434e-03
0.260000,4.418688e-03,7.871297e-05,0.000000e+00,1.757693e-03,7.934707e-03
0.261000,2.018744e-03,3.962973e-05,0.000000e+00,3.526236e-04,8.912254e-03
0.262000,7.639745e-04,3.099562e-05,0.000000e+00,5.113950e-07,9.116573e-03
0.263000,2.853897e-05,4.311747e-05,0.000000e+00,4.711359e-04,8.643541e-03
0.264000,4.597553e-05,1.416224e-05,0.000000e+00,1.098398e-03,7.921015e-03
0.265000,2.099239e-03,1.109793e-05,0.000000e+00,4.226132e-04,8.696017e-03
0.266000,3.149802e-03,5.598616e-06,0.000000e+00,9.020092e-04,9.961487e-03
0.267000,2.533556e-02,5.822206e-07,0.000000e+00,1.739974e-02,1.457037e-02
0.268000,9.222879e-04,1.957649e-06,0.000000e+00,3.026041e-06,1.469579e-02
0.269000,5.495213e-03,2.889464e-05,0.000000e+00,1.761232e-03,1.692237e-02
0.270000,7.249698e-08,3.115244e-05,0.000000e+00,1.123500e-03,1.542061e-02
0.271000,4.547908e-06,3.577787e-05,0.000000e+00,9.347345e-04,1.422149e-02
0.272000,1.539768e-02,3.812227e-05,0.000000e+00,8.530697e-03,1.782766e-02
0.273000,1.271765e-02,2.115286e-05,0.000000e+00,6.024723e-03,2.055475e-02
0.274000,4.540702e-05,5.780393e-06,0.000000e+00,2.007286e-03,1.827059e-02
0.275000,4.287134e-04,1.572736e-05,0.000000e+00,3.283499e-03,1.567634e-02
0.276000,1.931540e-04,2.812069e-05,0.000000e+00,2.359348e-03,1.394810e-02
0.277000,2.404167e-03,1.428784e-05,0.000000e+00,6.739011e-03,1.118813e-02
0.278000,8.251747e-04,7.693203e-07,0.000000e+00,3.476700e-03,1.003038e-02
0.279000,1.248620e-02,2.669605e-05,0.000000e+00,1.959294e-02,7.045597e-03
0.280000,8.423843e-04,4.505052e-05,0.000000e+00,2.740468e-03,5.975407e-03
