t,innovation,mse,firing_rate,kalman_innovation,kalman_mse
0.142000,6.642073e-04,7.470821e-04,0.000000e+00,8.920776e-04,1.031692e-04
0.143000,1.888603e-04,7.269622e-04,0.000000e+00,2.756658e-04,1.094627e-04
0.144000,5.850462e-03,8.221945e-04,0.000000e+00,6.188978e-03,1.141940e-03
0.145000,1.225885e-02,7.178758e-04,1.562500e+01,1.200962e-02,5.045076e-03
0.146000,2.101984e-03,6.485954e-04,0.000000e+00,2.585766e-03,2.689912e-03
0.147000,8.829482e-04,6.073562e-04,0.000000e+00,1.064116e-03,1.591918e-03
0.148000,1.145988e-05,5.936331e-04,0.000000e+00,2.449364e-05,1.449978e-03
0.149000,5.018430e-04,6.550653e-04,0.000000e+00,4.421636e-04,2.162191e-03
0.150000,1.465210e-02,6.187043e-04,0.000000e+00,1.520685e-02,1.650089e-05
0.151000,3.876496e-03,6.391825e-04,0.000000e+00,3.529302e-03,2.445320e-04
0.152000,2.773905e-03,5.930701e-04,0.000000e+00,2.239419e-03,1.046608e-03
0.153000,6.935039e-03,7.008065e-04,0.000000e+00,5.765035e-03,3.160778e-03
0.154000,5.282712e-05,5.786785e-04,0.000000e+00,1.076518e-05,3.242367e-03
0.155000,8.361263e-04,5.817691e-04,0.000000e+00,3.394449e-04,3.926830e-03
0.156000,1.239014e-03,6.307162e-04,0.000000e+00,2.164920e-03,2.174817e-03
0.157000,1.783329e-04,7.190205e-04,0.000000e+00,5.221682e-04,1.458552e-03
0.158000,5.068620e-04,8.182670e-04,0.000000e+00,1.928478e-04,1.697947e-03
0.159000,3.648854e-05,9.326014e-04,0.000000e+00,2.340128e-04,1.162673e-03
0.160000,2.943322e-06,8.716570e-04,0.000000e+00,4.873641e-05,1.064673e-03
0.161000,9.840132e-04,8.990555e-04,0.000000e+00,5.242442e-04,1.543780e-03
0.162000,1.230799e-03,8.992418e-04,0.000000e+00,6.563374e-04,2.205591e-03
0.163000,7.675843e-05,8.303491e-04,0.000000e+00,3.737092e-04,1.807885e-03
0.164000,8.743750e-04,9.005529e-04,0.000000e+00,1.554675e-03,9.549537e-04
0.165000,1.492356e-03,8.740831e-04,0.000000e+00,9.180916e-04,1.580518e-03
0.166000,4.123552e-03,8.705666e-04,0.000000e+00,5.450249e-03,4.053044e-04
0.167000,1.768552e-03,9.019177e-04,0.000000e+00,1.249985e-03,7.927008e-04
0.168000,1.867468e-05,9.647438e-04,0.000000e+00,1.477408e-05,6.637513e-04
0.169000,6.825872e-04,9.683881e-04,0.000000e+00,3.262410e-04,9.432841e-04
0.170000,1.865912e-03,8.850310e-04,0.000000e+00,1.180298e-03,1.736756e-03
0.171000,6.405708e-04,8.917163e-04,0.000000e+00,1.266115e-03,1.009342e-03
0.172000,2.284010e-03,8.925406e-04,0.000000e+00,1.511073e-03,1.793796e-03
0.173000,7.593139e-04,9.814399e-04,0.000000e+00,1.450207e-03,9.411045e-04
0.174000,1.847374e-03,9.766667e-04,0.000000e+00,1.149410e-03,1.583469e-03
0.175000,2.106510e-03,9.148106e-04,0.000000e+00,3.178639e-03,6.952214e-04
0.176000,4.420233e-03,9.515492e-04,0.000000e+00,5.594743e-03,1.522175e-04
0.177000,5.933143e-04,9.113551e-04,0.000000e+00,8.857243e-04,1.173051e-04
0.178000,7.594075e-05,8.556343e-04,0.000000e+00,1.985651e-05,1.202755e-04
0.179000,8.819796e-03,8.083984e-04,0.000000e+00,9.677010e-03,7.136553e-04
0.180000,3.625332e-04,9.585740e-04,0.000000e+00,3.397758e-04,6.112163e-04
